week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt
31,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51,69,QAT,https://flixpatrol.com/title/cursed-2020,ASI,2020,7
30,Movie,MILF,France,Comedy,2018-05-02,False,0,14,QAT,https://flixpatrol.com/title/milf-2018,ASI,2018,5
30,TV Show,Cursed,USA,Fantasy,2020-07-17,True,51,69,QAT,https://flixpatrol.com/title/cursed-2020,ASI,2020,7
29,Movie,The Old Guard,USA,Superhero,2020-07-10,True,82,80,QAT,https://flixpatrol.com/title/the-old-guard,ASI,2020,7
29,TV Show,Queen of the South,USA,Drama,2016-06-23,False,77,0,QAT,https://flixpatrol.com/title/queen-of-the-south,ASI,2016,6
28,Movie,The Mask,USA,Comedy,1994-07-29,False,69,77,QAT,https://flixpatrol.com/title/the-mask,ASI,1994,7
28,TV Show,Warrior Nun,USA,Fantasy,2020-07-02,True,69,0,QAT,https://flixpatrol.com/title/warrior-nun,ASI,2020,7
27,Movie,The Mask,USA,Comedy,1994-07-29,False,69,77,QAT,https://flixpatrol.com/title/the-mask,ASI,1994,7
27,TV Show,Dark,Germany,Mystery,2017-12-01,True,87,94,QAT,https://flixpatrol.com/title/dark-2017,ASI,2017,12
26,Movie,Lost Bullet,France,Crime,2020-06-19,True,62,0,QAT,https://flixpatrol.com/title/lost-bullet,ASI,2020,6
26,TV Show,Floor is Lava,USA,Reality-Show,2020-06-19,True,51,83,QAT,https://flixpatrol.com/title/floor-is-lava,ASI,2020,6
37,Movie,"Love, Guaranteed",USA,Comedy,2020-09-03,True,55,50,AUT,https://flixpatrol.com/title/love-guaranteed,EUR,2020,9
37,TV Show,Away,USA,Science Fiction,2020-09-04,True,71,73,AUT,https://flixpatrol.com/title/away-2020,EUR,2020,9
36,Movie,Venom,USA,Superhero,2018-10-03,False,71,29,AUT,https://flixpatrol.com/title/venom-2018,EUR,2018,10
36,TV Show,Cobra Kai,USA,Action,2018-05-02,False,88,94,AUT,https://flixpatrol.com/title/cobra-kai,EUR,2018,5
35,Movie,Project Power,USA,Action,2020-08-14,True,61,63,AUT,https://flixpatrol.com/title/project-power,EUR,2020,8
35,TV Show,Biohackers,Germany,Drama,2020-08-20,True,55,0,AUT,https://flixpatrol.com/title/biohackers,EUR,2020,8
34,Movie,Project Power,USA,Action,2020-08-14,True,61,63,AUT,https://flixpatrol.com/title/project-power,EUR,2020,8
34,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,AUT,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
33,Movie,Work It,USA,Comedy,2020-08-07,True,61,0,AUT,https://flixpatrol.com/title/work-it-2020,EUR,2020,8
33,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,AUT,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
32,Movie,London Has Fallen,United Kingdom,Action,2016-01-22,False,59,26,AUT,https://flixpatrol.com/title/london-has-fallen,EUR,2016,1
32,TV Show,The Umbrella Academy,USA,Superhero,2019-02-15,True,83,82,AUT,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
31,Movie,The Kissing Booth 2,United Kingdom,Romance,2020-07-24,True,62,28,AUT,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
31,TV Show,How to Sell Drugs Online (Fast),Germany,Comedy,2019-05-31,True,80,90,AUT,https://flixpatrol.com/title/how-to-sell-drugs-online-fast,EUR,2019,5
30,Movie,Fantastic Beasts: The Crimes of Grindelwald,United Kingdom,Fantasy,2018-11-14,False,70,40,AUT,https://flixpatrol.com/title/fantastic-beasts-the-crimes-of-grindelwald,EUR,2018,11
30,TV Show,How to Sell Drugs Online (Fast),Germany,Comedy,2019-05-31,True,80,90,AUT,https://flixpatrol.com/title/how-to-sell-drugs-online-fast,EUR,2019,5
